"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019646","GO:0019646","aerobic electron transport chain","3/3","93/18860",0.032258064516129,202.795698924731,24.6059201206337,1.16079676179527e-07,2.2661147270132e-06,2.03011397716748e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","3/3","100/18860",0.03,188.6,23.7246641991262,1.44645620873183e-07,2.2661147270132e-06,2.03011397716748e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","3/3","100/18860",0.03,188.6,23.7246641991262,1.44645620873183e-07,2.2661147270132e-06,2.03011397716748e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0022904","GO:0022904","respiratory electron transport chain","3/3","115/18860",0.0260869565217391,164,22.1145170426413,2.2086411268827e-07,2.59515332408717e-06,2.32488539671863e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0022900","GO:0022900","electron transport chain","3/3","125/18860",0.024,150.88,21.2058409277301,2.84237143057847e-07,2.67182914474376e-06,2.39357594153977e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0006119","GO:0006119","oxidative phosphorylation","3/3","148/18860",0.0202702702702703,127.432432432432,19.4765891804312,4.73560996337535e-07,3.70956113797736e-06,3.32323506201779e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:1902600","GO:1902600","proton transmembrane transport","3/3","192/18860",0.015625,98.2291666666667,17.0797668832862,1.03880065929258e-06,6.97480442667875e-06,6.24842501830123e-07,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0009060","GO:0009060","aerobic respiration","3/3","297/18860",0.0101010101010101,63.5016835016835,13.6939744981143,3.86646600448357e-06,2.27154877763409e-05,2.03498210762293e-06,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0045333","GO:0045333","cellular respiration","3/3","336/18860",0.00892857142857143,56.1309523809524,12.8611974147984,5.60498650025991e-06,2.92704850569129e-05,2.62221590655434e-06,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","3/3","434/18860",0.00691244239631336,43.4562211981567,11.2863710950183,1.21033444300098e-05,5.41031037137791e-05,4.84686259473945e-06,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","2/3","41/18860",0.0487804878048781,306.666666666667,24.7129957942686,1.38135583950074e-05,5.41031037137791e-05,4.84686259473945e-06,"MT-ND1/MT-ND6",2
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","2/3","41/18860",0.0487804878048781,306.666666666667,24.7129957942686,1.38135583950074e-05,5.41031037137791e-05,4.84686259473945e-06,"MT-ND1/MT-ND6",2
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","3/3","494/18860",0.00607287449392713,38.1781376518219,10.5615454575795,1.78641760760243e-05,6.45858673517801e-05,5.78596795984592e-06,"MT-CO3/MT-ND1/MT-ND6",3
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","2/3","52/18860",0.0384615384615385,241.794871794872,21.9311423777672,2.23288362559736e-05,7.49610931450542e-05,6.71543947548078e-06,"MT-ND1/MT-ND6",2
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","2/3","68/18860",0.0294117647058824,184.901960784314,19.1618736117238,3.833805971493e-05,0.000120125920440114,1.07615606217347e-05,"MT-ND1/MT-ND6",2
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","2/3","76/18860",0.0263157894736842,165.438596491228,18.1175794629253,4.79510520298127e-05,0.000140856215337575,1.26186979025823e-05,"MT-ND1/MT-ND6",2
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","2/3","102/18860",0.0196078431372549,123.267973856209,15.6172007388541,8.65853499122263e-05,0.000235065000906428,2.10584547284594e-05,"MT-ND1/MT-ND6",2
"GO:0006754","GO:0006754","ATP biosynthetic process","2/3","104/18860",0.0192307692307692,120.897435897436,15.4646505261571,9.00248939641638e-05,0.000235065000906428,2.10584547284594e-05,"MT-ND1/MT-ND6",2
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","2/3","115/18860",0.0173913043478261,109.333333333333,14.6977874005285,0.000110134964794324,0.000263348471775901,2.35922483113909e-05,"MT-ND1/MT-ND6",2
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","2/3","116/18860",0.0172413793103448,108.390804597701,14.633513418263,0.000112063179479107,0.000263348471775901,2.35922483113909e-05,"MT-ND1/MT-ND6",2
